worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
A100VV1V2XDQI7,28.0,1,14,14,0.274914606669,0.468879257138,0.586322816555,0.224546567895,0.402734184433,0.557555272371
A10LQ8RUWDUI5U,108.818181818,1,11,11,0.786436552098,0.826653475396,0.951349719688,0.572588388021,0.665727356519,0.860094425163
A110KENBXU7SUJ,46.5,1,2,2,0.161590063863,0.346175356363,0.466786733639,0.186739532752,0.34941476159,0.53443515638
A12HZGOZQD5YK7,33.5,1,2,2,0.615800500717,0.748285125194,0.822949006982,0.420499851933,0.580921178388,0.723850098046
A12ZPHBEIHN8U7,24.3058823529,1,85,85,0.513006043442,0.650235413644,0.788954327429,0.350222286589,0.508206106056,0.689134353987
A14I3K8UN3612X,29.0,1,3,3,0.535367020335,0.672885060422,0.79562922678,0.34542606873,0.508857921909,0.678826159243
A1506T1PAYRT16,80.0,1,6,6,0.275801136975,0.453413114533,0.608277811415,0.199693661705,0.37382623368,0.534188464353
A1AJG4BGSRPC93,724.404761905,3,11,11,0.564079037591,0.665048000611,0.848177931627,0.347594523403,0.489330638725,0.710346943141
A1CA46R2A6TV9W,137.0,1,1,1,0.185597039629,0.276327964745,0.671654929319,0.144738699723,0.242734178666,0.596284794
A1CPNA5L0J834N,29.0,1,1,1,0.0236602613613,0.103894728531,0.227733030308,0.0553460676927,0.159258249679,0.347524023428
A1DRFDGG2KCOI2,159.76874248,8,401,401,0.494654913788,0.63167247759,0.783087646426,0.315725427184,0.466886911236,0.676235335765
A1E2Y158WG5FR6,89.0,1,1,1,0.925015478114,0.934655702239,0.989685801839,0.845542786599,0.877461217884,0.963624111659
A1HI9B1MMCMVAZ,16.0,1,1,1,0.0976153844393,0.276456862865,0.353094451799,0.0796896388251,0.240129094255,0.3318616558
A1IHI23KH87K5W,388.896671409,7,461,461,0.473689807478,0.625048603436,0.757844757791,0.320353372895,0.481030924387,0.66597251165
A1J8TVICSRC70W,15.0,1,1,1,0.607612264559,0.730095807293,0.832236342805,0.535120015946,0.667051351833,0.802217122377
A1MQ9B05ZMM4YI,128.657518126,7,554,554,0.541610002361,0.667011698927,0.811994756963,0.341035696119,0.498148094975,0.684607046698
A1NKBXOTZAI1YK,31.8333333333,1,6,6,0.390683728641,0.544748877191,0.717181338042,0.263082788381,0.416167506392,0.63215600531
A1PAY3X73PQ16S,278.273333333,3,66,66,0.548746599921,0.673441561915,0.814839224298,0.359570866399,0.505714912566,0.711014956184
A1RDT8BS8A8S76,32.5,1,2,2,0.639342729851,0.713507645985,0.896055891549,0.450172710195,0.584912673362,0.769640889482
A1TRHR5KRTO1BV,34.3333333333,1,6,6,0.207269618373,0.408595120242,0.507273846664,0.197750975393,0.370439588688,0.53382786676
A1UKZZL7ANOZRZ,42.7,1,10,10,0.452933427498,0.609888112864,0.742650033579,0.281770839228,0.439951141521,0.640459388863
A1UQ4029LCS7,66.0,1,1,1,0.158239137448,0.278805148695,0.567561747652,0.12007836341,0.252112045287,0.476289672208
A1VSU8AMV3QFI1,158.0,1,1,1,0.00118929818687,0.0295428556002,0.0402567105552,0.0089407958748,0.0703998971181,0.127000127
A20VJWCDIBKTZI,122.358333333,2,34,34,0.563876146735,0.684335271128,0.823976449154,0.414337177321,0.552617358044,0.74977228147
A21HDHQPENLF2X,28.0,1,23,23,0.541476954642,0.664604997274,0.814735003291,0.349044069299,0.499875440472,0.698262088991
A23Y6SGE73H4IW,92.4571428571,2,12,12,0.618391752957,0.718131160897,0.861112546884,0.360555982019,0.511363252048,0.705087783636
A2541C8MY0BYV3,4.06746901824,7,540,540,0.358980882003,0.543779039454,0.660159469116,0.25088752394,0.425045990139,0.590259712502
A2653BIPJKEMRK,72.4655172414,2,30,30,0.450075991185,0.601736610986,0.747961787547,0.282220934325,0.442425458004,0.637894879734
A27PVIL93ZMY46,70.0,1,1,1,0.328474990695,0.46193641548,0.711082693823,0.325772451601,0.451069548371,0.722222222222
A29VL3MZE7YPBZ,34.5,1,2,2,0.261196002166,0.464131201105,0.562763290949,0.136742756522,0.313772613096,0.435802077094
A2BPBFN87X32NO,704.35,2,24,24,0.424339501213,0.574003953114,0.739262332448,0.296416351395,0.441901169822,0.670775213187
A2CT57W84KXX25,81.0,1,1,1,0.139818724054,0.297849298637,0.469427743137,0.19257364826,0.341241374122,0.564332647983
A2E72ZI1VESTMR,37.5,1,2,2,0.380006083442,0.570688041874,0.665873569374,0.369948345914,0.519715777281,0.711828199346
A2FNOKJNY7E5WP,83.75,1,4,4,0.307188745679,0.456204560843,0.673357462959,0.188379394267,0.334518427314,0.563136075282
A2FUMA4UR6S920,595.494474451,6,388,388,0.170040900446,0.372935113112,0.455953045095,0.122218885574,0.288235561242,0.424024312083
A2HM35CWB7IIFM,84.0,1,1,1,0.947875522543,0.948826724917,0.998997496225,0.813918642589,0.836221912942,0.973328526785
A2JCK494NV7TFX,437.806451613,1,31,31,0.476449609475,0.630942888054,0.755139044271,0.34612338777,0.502704326083,0.688522795232
A2KJ983WWTEK4L,399.976602564,4,37,37,0.601408615602,0.70669006858,0.851021745375,0.37465858126,0.519628727274,0.721012064183
A2LN42YO5UY41W,82.2857142857,1,7,7,0.780536202754,0.820127445998,0.951725498961,0.587004331247,0.678734829178,0.864850757633
A2LT5VXO2LS0UL,90.5,1,2,2,0.752084331913,0.831002520522,0.905032552056,0.559951784433,0.688730608942,0.813020035936
A2MQ6VUSKCQ9FH,178.5,2,2,2,0.500091848459,0.632367724025,0.790824435624,0.377354796492,0.513011874967,0.735567371645
A2OAZPREKF6PQR,339.299474957,9,740,740,0.21135475675,0.413745825792,0.510832360291,0.133722876543,0.301694290537,0.443239665903
A2OZTBCBOCHF9E,84.6666666667,1,3,3,0.536954495656,0.674671381588,0.795875607458,0.214805964486,0.402462161056,0.533729590683
A2P065E9CYMYJL,281.253012048,1,83,83,0.543622835628,0.664950040546,0.817539367592,0.362616771777,0.506379279546,0.716097175426
A2SBISQJE2ZPJQ,635.383957764,9,699,699,0.513875848752,0.650230819673,0.790297588494,0.327993282501,0.488409879814,0.671553332676
A2SWQM5X54P1O5,53.1666666667,1,6,6,0.667840559353,0.759194439209,0.879669982895,0.401814460412,0.558459384066,0.719505252982
A2T7HLGR4UMO39,33.5302005013,6,110,110,0.590815088028,0.691394669071,0.854526530877,0.381040021019,0.521867110338,0.730147605532
