worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
A110KENBXU7SUJ,45.75,1,4,4,0.734019466896,0.768169184076,0.95554401571,0.603123198291,0.659339648682,0.914738252881
A11GWWAXRJQ6Y2,280.339734748,3,105,105,0.0446190608014,0.184210121365,0.242218291106,0.0531175913272,0.178480885703,0.297609411327
A194R45ACMQEOR,43.2636823249,4,197,197,0.398365989905,0.558830414222,0.712856673092,0.218905469496,0.37740982739,0.580020586666
A1DRFDGG2KCOI2,110.085670853,3,173,173,0.557452722683,0.675922769035,0.824728427892,0.351129986222,0.503393624147,0.697525692378
A1IFIK8J49WBER,118.0,1,1,1,0.161488243214,0.364383716326,0.443181832719,0.186614951792,0.369975875447,0.504397622051
A1IHI23KH87K5W,702.608849106,5,299,299,0.431215023508,0.595455461169,0.724176788405,0.284007390089,0.450070463419,0.631028723661
A1J0GU26323WVA,22.0,1,3,3,0.625703866579,0.672603028923,0.930272151139,0.436224468611,0.532628551087,0.819003164063
A1MQ9B05ZMM4YI,524.62304979,5,224,224,0.489835332987,0.628703248352,0.779120092462,0.300398850211,0.459613649817,0.653589923475
A1QX1RYLCFXZJ9,1464.32160694,4,86,86,0.3853668368,0.54650970262,0.70514180252,0.216380764856,0.374800802378,0.577322042757
A20PV3RB3I0W8S,1059.04920126,9,433,433,0.45239681923,0.610888912351,0.740554968478,0.293185821695,0.462415986054,0.634030462909
A20VJWCDIBKTZI,371.269230769,1,26,26,0.573616147944,0.6756361914,0.849001511828,0.338063343472,0.473769064382,0.713561456177
A219VCQZADQ45W,20.5352173913,2,71,71,0.428499586147,0.587002727729,0.729978867057,0.284168531989,0.448591401035,0.633468522433
A2541C8MY0BYV3,3.16028786029,3,247,247,0.331541095293,0.522363491966,0.634694231875,0.257817314416,0.432691347596,0.595845782099
A2653BIPJKEMRK,39.7857142857,1,14,14,0.53237420727,0.658835418458,0.808053411148,0.361797917974,0.515667961728,0.70161023144
A28A3HF3LSEIDT,303.719126781,3,165,165,0.068593621321,0.227387008107,0.301660248279,0.0673650260661,0.202729409723,0.3322903478
A2BPBFN87X32NO,816.8125,2,10,10,0.440689776467,0.616473804455,0.714855640714,0.272980032797,0.445262205713,0.613077034823
A2CK0OXMPOR9LE,864.71875,1,32,32,0.579564359019,0.69217603593,0.837307749668,0.408804896244,0.556119131184,0.735103098095
A2EEL9YYUHL5SK,55.4444444444,3,21,21,0.648635223415,0.741337328968,0.874952869725,0.443909443905,0.577377094897,0.768837987908
A2EOOF9D135HQ1,50.5,1,6,6,0.398236767702,0.537759569594,0.740547988766,0.246480784765,0.390436217172,0.631295904233
A2FUMA4UR6S920,432.678155389,7,390,390,0.244867592204,0.456777095451,0.536076774959,0.148678481329,0.320860701389,0.463373921098
A2IU5TX5S0FA1C,41.3333333333,1,3,3,0.0511830902965,0.188166231317,0.272009966604,0.0493342815783,0.167326956677,0.294837619461
A2KJ983WWTEK4L,70.5079234973,2,91,91,0.497235167489,0.631651381731,0.787198733148,0.348826015948,0.50015116131,0.697441179652
A2M5VW97GIYLHB,40.8314606742,1,89,89,0.550923822012,0.669330708357,0.823096587581,0.403500661579,0.549833746444,0.733859396933
A2NI76IVRWRTR3,34.0,1,1,1,8.46609907676e-06,0.00248825272147,0.00340242733533,0.00333400020007,0.0412393049421,0.0808452083454
A2OAZPREKF6PQR,372.933161966,9,716,716,0.279756110109,0.480426314268,0.582308049748,0.156339119577,0.328143972649,0.476434530595
A2P065E9CYMYJL,145.515702076,3,202,202,0.474615048076,0.619791334485,0.765765866136,0.291266230794,0.449807105423,0.64753585989
A2PXJTMWGUE5DC,268.0,1,1,1,0.460868252573,0.57789706923,0.797491936042,0.260311906424,0.424555871171,0.613139339485
A2SBISQJE2ZPJQ,403.538390814,8,610,610,0.504920516079,0.636722259999,0.792999629194,0.322691122198,0.474941067659,0.679434027022
A2SWQM5X54P1O5,182.25,1,4,4,0.244507809926,0.424523146804,0.575958723963,0.185947915907,0.357417773521,0.520253691011
A2T7HLGR4UMO39,96.25,2,24,24,0.538676447612,0.641847460731,0.839259295345,0.40696860091,0.532343956973,0.76448430677
A2UF2FRGVW4T89,1010.01551088,6,126,126,0.407467603259,0.565822660915,0.720133058298,0.268192039213,0.426713779576,0.628505691752
A2USD3XJ7TU9Y7,173.522727273,1,44,44,0.357330229034,0.521805047402,0.684796421218,0.239615848909,0.393894106397,0.608325549985
A2W3KKNN3CAY66,810.014527629,3,133,133,0.450004177546,0.606910619052,0.741466969633,0.267182029199,0.429505291263,0.622069237875
A2WNW8A4MOR7T7,57.6666666667,1,3,3,0.672340441122,0.737302305254,0.911892498275,0.472074439501,0.58286198111,0.809924913274
A2XFO0X6RCS98M,214.628322342,5,367,367,0.533838202573,0.661170104733,0.807414307984,0.364224006636,0.518817901445,0.702026675682
A2YBGZ2H2KSO5T,53.4444444444,1,9,9,0.425394502516,0.605250071057,0.702840896446,0.315783786806,0.506430888361,0.623547643052
A31XNLA9REVGXL,756.426803983,7,488,488,0.542444770161,0.660042660483,0.821832894503,0.335283651586,0.484186839973,0.692467502018
A31Z5TPD8QKE26,367.5,1,2,2,0.238839096018,0.388117935601,0.615377631668,0.176598759832,0.317869216116,0.555570501572
A358YR7MWC6LRH,193.071869912,8,383,383,0.564982461791,0.675712492513,0.836128483713,0.357866134275,0.499592500084,0.716316066024
A3696JXTRKL2FI,182.436462451,2,147,147,0.604259299614,0.705601528765,0.856374702974,0.464475582188,0.592439657377,0.784004879492
A36ABFLSNFESVJ,94.3,1,10,10,0.423403903883,0.571660876933,0.74065572959,0.238995166546,0.393585665213,0.607225281989
A36SM7QM8OK3H6,72.0,1,1,1,0.654938232515,0.749840641238,0.873436563046,0.527792506127,0.670812568114,0.786795792469
A374STD2W8N1U8,39.0,1,1,1,0.720618423622,0.768047842573,0.938246790991,0.479650477381,0.601758657318,0.79708114133
A39N0WW02VT0MB,416.490900525,4,248,248,0.248840503453,0.448551970847,0.554764039903,0.139613154884,0.302958169658,0.460833107889
A3BI0AX5T5GVO3,226.001995589,6,481,481,0.551588652689,0.668740657866,0.824816984283,0.358137957781,0.506089409702,0.707657482877
A3BL2ZEODD79AZ,21.0,1,2,2,0.816279680266,0.824005464709,0.990624110187,0.678862983898,0.732718846295,0.926498598107
