worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
A104V8NZIQFN2F,37.25,2,5,5,0.520740810211,0.639710400189,0.814025862416,0.384370409835,0.520030988839,0.739129817423
A10LLZZHZVGWRW,37.0,1,1,1,0.103363963844,0.238376786889,0.433615895207,0.144118462533,0.283753962505,0.507899383185
A11C01B5PXL1QW,249.333333333,1,6,6,0.596624112361,0.733393537103,0.813511548953,0.47440536344,0.605806724929,0.783096891993
A1506T1PAYRT16,36.9166666667,1,12,12,0.477805517198,0.627977462622,0.76086411637,0.317870023252,0.488863393988,0.650222592162
A17AF9I56P3RVV,64.0,1,3,3,0.383953805854,0.547510417652,0.701272146567,0.291212493893,0.4644311624,0.627030478292
A1909MOQZUXZZ5,41.9166666667,2,5,5,0.158841217795,0.36669925758,0.433164819704,0.168677990163,0.36782048376,0.458587810115
A1CPNA5L0J834N,49.0,1,1,1,0.267728690248,0.419099308086,0.638819213209,0.337351021189,0.461936910257,0.73029674334
A1DABMXVWWL0TR,1069.61124897,2,184,184,0.49000420987,0.62810154405,0.78013533721,0.326659384577,0.4848093883,0.67378931279
A1DRFDGG2KCOI2,117.903565185,4,273,273,0.500941015313,0.632951064628,0.791437195239,0.332107925262,0.484316483723,0.685725009211
A1FGSZ042NZ694,44.25,1,4,4,0.568178755922,0.659936270407,0.860960037203,0.412484643258,0.539410379266,0.764695413942
A1IHI23KH87K5W,773.460582065,3,218,218,0.495367165153,0.638265569055,0.776114503382,0.350377507627,0.512553481872,0.683592093351
A1MQ9B05ZMM4YI,252.995005555,6,433,433,0.510188810388,0.643573885763,0.792743182523,0.361187906464,0.516016164298,0.699954636024
A1OSRAPSRT934Z,83.0,1,1,1,0.0164707848584,0.0927475953359,0.177587190253,0.0213381839096,0.100589163605,0.212132034356
A1PAY3X73PQ16S,654.955268261,2,176,176,0.579173313558,0.681624054392,0.849696118888,0.384774854558,0.525261748287,0.732539264116
A1QX1RYLCFXZJ9,517.407407407,3,11,11,0.530223817225,0.6393592746,0.829304959339,0.433217367501,0.571271612406,0.758338692301
A1Z048705962W6,99.5,2,4,4,0.17678908694,0.359883649755,0.491239563287,0.200391109366,0.366359423147,0.546979541687
A20PV3RB3I0W8S,385.495098039,2,53,53,0.38374325294,0.561090046717,0.683924541499,0.272008234716,0.447950722873,0.607228029395
A219VCQZADQ45W,22.7702857059,4,210,210,0.514623783736,0.657612502335,0.7825638684,0.369560110432,0.532874828082,0.69352142559
A21HDHQPENLF2X,34.2727272727,1,22,22,0.455199436234,0.605128452541,0.752236048929,0.325003599183,0.484855833927,0.670309763111
A23Y6SGE73H4IW,40.4,1,5,5,0.316912283236,0.510658596552,0.620595218363,0.262496379065,0.443982276281,0.591231661911
A24LC97AU3QC7G,55.6309246309,3,48,48,0.591271766413,0.697625004593,0.847549561039,0.422711750016,0.564441913244,0.748902128098
A2541C8MY0BYV3,3.64125799539,6,514,514,0.333209392449,0.524794478312,0.634933114236,0.246954829527,0.429123232206,0.575486972022
A25D66AC4QUW2U,105.0,1,1,1,0.5422401431,0.637625091713,0.850405904892,0.427108952833,0.528304597853,0.808452083454
A26D2ZZKJW7BXR,135.0,1,2,2,0.177339863591,0.369740135756,0.479633792605,0.178815332943,0.347559665924,0.514488159803
A29VL3MZE7YPBZ,32.1825396825,2,16,16,0.641860670882,0.719243802104,0.892410430238,0.497141052271,0.611243853037,0.813326874047
A2A40D950QGXHK,81.9444444444,2,12,12,0.435113332497,0.57543132483,0.756151626999,0.343426426951,0.488158071115,0.703514798325
A2BPBFN87X32NO,895.103028256,3,127,127,0.485785079617,0.62532555016,0.776851480788,0.344900070829,0.494103661869,0.698031804752
A2CK0OXMPOR9LE,340.597014925,1,67,67,0.591936532514,0.687022005251,0.861597631502,0.443381056782,0.56521574408,0.784445694279
A2FUMA4UR6S920,678.087883048,4,332,332,0.23361560499,0.432180532423,0.540550967625,0.174633579462,0.351919365482,0.496231797937
A2GXHECU31O81V,37.0,1,1,1,0.148828932167,0.286239688512,0.519945130394,0.0977125086836,0.237744794625,0.410997468263
A2I8VBHRESMG9S,59.0,1,1,1,0.884568936087,0.920388868676,0.961081740764,0.759275305517,0.819525059316,0.926482109224
A2IU5TX5S0FA1C,46.75,2,5,5,0.48508018939,0.646621730132,0.750176133565,0.29934168419,0.4908848084,0.60980026081
A2KJ983WWTEK4L,330.455263158,2,59,59,0.510441659971,0.640301077018,0.797190069316,0.31267736104,0.474214298859,0.659358778915
