worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
A11GWWAXRJQ6Y2,122.251277116,7,590,590,0.20226830973,0.401005715062,0.504402561194,0.15016007635,0.306367531833,0.490130515632
A17AF9I56P3RVV,79.6666666667,2,14,14,0.733433798991,0.791275308264,0.926900904567,0.47844745581,0.597714481444,0.80046154253
A183WYXN12P2TJ,89.0,1,1,1,0.341632026348,0.377548845447,0.904868417604,0.124978723708,0.225308598335,0.554700196225
A194R45ACMQEOR,12.7426434438,6,433,433,0.383226156,0.545602258239,0.702391073742,0.207190324806,0.365572795242,0.566755315228
A1CPNA5L0J834N,457.96942402,4,49,49,0.430259700043,0.561007929416,0.766940496707,0.227001558608,0.366501746542,0.619373743099
A1IHI23KH87K5W,484.087982658,5,234,234,0.443052409327,0.599418216101,0.739137379255,0.261311600438,0.422370630526,0.618678434419
A1J0GU26323WVA,19.0,1,1,1,0.576668308446,0.640805176283,0.899912063431,0.33883521591,0.448889789313,0.754829412424
A1MQ9B05ZMM4YI,1270.8938434,3,113,113,0.460301767779,0.594724079758,0.773975333177,0.271144819742,0.412352930581,0.657555214557
A20VJWCDIBKTZI,438.687306494,5,394,394,0.514458124036,0.627456944568,0.819909841607,0.28581586811,0.425133428178,0.672296858272
A219VCQZADQ45W,11.375,2,5,5,0.734094012463,0.799575310243,0.918104902764,0.471803807732,0.58245104208,0.810031699912
A28A3HF3LSEIDT,199.869138466,8,590,590,0.0993221546118,0.277389983,0.358059629758,0.098126689456,0.246229035863,0.398517945344
A2CK0OXMPOR9LE,1800.8375,2,71,71,0.605976180782,0.69491709185,0.87201219813,0.364476517432,0.487399284208,0.747798630898
A2FUMA4UR6S920,1013.25072212,9,503,503,0.23732903477,0.43175839495,0.54968018583,0.150562785675,0.305711292198,0.492499915828
A2IU5TX5S0FA1C,69.0157894737,2,34,34,0.370131752304,0.518210124978,0.714250329091,0.236564188975,0.370624315375,0.638285668701
A2KJ983WWTEK4L,247.888888889,2,16,16,0.443916888398,0.596480909237,0.744226481558,0.240537554537,0.412504708196,0.583114688774
A2OAZPREKF6PQR,263.950381668,5,433,433,0.157204197221,0.347213736658,0.452759152716,0.0951066859824,0.239143645677,0.397696897666
A2P065E9CYMYJL,222.513333333,3,94,94,0.448550050115,0.596126605335,0.752440917921,0.239354200264,0.394081221509,0.60737276277
A2SBISQJE2ZPJQ,285.159287118,6,517,517,0.453608804949,0.591392422641,0.767018290365,0.244585576204,0.39490115566,0.619358978059
A2T5CROJ0FWIJY,32.0,1,5,5,0.0460729165875,0.142498774246,0.323321494035,0.0621399797213,0.168424932515,0.368947630219
A2UF2FRGVW4T89,1382.13448974,8,210,210,0.373022404993,0.537273010468,0.694288374299,0.21281827995,0.362937384336,0.586377400442
A2USD3XJ7TU9Y7,94.5985915493,2,90,90,0.646971313885,0.718245532976,0.900766220159,0.435826028361,0.557930105422,0.781148075942
A2W3KKNN3CAY66,106.933333333,2,20,20,0.539653506586,0.64063977162,0.842366538096,0.311168472604,0.455603130657,0.682981418838
A2WTNZHRALOHX8,608.8,1,5,5,0.569898646352,0.66142776115,0.861618879379,0.271110025459,0.412966179229,0.656494500264
A2XFO0X6RCS98M,252.595646884,6,463,463,0.480761108448,0.610207741496,0.787864649618,0.26539269146,0.409252989978,0.648480763632
A2YLF04UAKYVF1,35.25,1,16,16,0.553017519801,0.642961593785,0.860109725287,0.302969467278,0.427704823009,0.708361119585
A314XJY8V1YL12,1251.92261905,2,31,31,0.361270350711,0.525770850239,0.687125105066,0.19550552093,0.346281125847,0.564586130568
A31XNLA9REVGXL,697.978642856,6,424,424,0.531983753356,0.642074856174,0.82853852357,0.291996926366,0.433922334024,0.672924400222
A31Z5TPD8QKE26,36.5,2,3,3,0.762531199715,0.815854953108,0.934640645142,0.480614573322,0.604749879443,0.794732813778
A3696JXTRKL2FI,318.288573956,5,329,329,0.48923295211,0.619867801609,0.789253693836,0.294804829996,0.433943873689,0.679361659124
A36ABFLSNFESVJ,79.3333333333,1,6,6,0.422656001399,0.574059935181,0.736257619625,0.208272722923,0.359581605793,0.579208501125
A39N0WW02VT0MB,164.981293108,9,675,675,0.26662811384,0.462774201792,0.576151636818,0.142299715515,0.303448309574,0.468942192213
A3C3RLZKKHH1FC,207.554244071,7,584,584,0.116798748174,0.300482769381,0.388703646519,0.105046070127,0.254467548138,0.412807333963
A3CYV47MM7OA6M,2217.0,1,1,1,0.673406062493,0.749366631515,0.898633638293,0.261186504092,0.408357765016,0.639602149067
A3EG4C9T4F5DUR,618.0,1,5,5,0.0898543920537,0.262788490422,0.341926664708,0.0864122638616,0.233599641626,0.369916080608
A3EZ0H07TSDAPW,380.227554481,8,520,520,0.228195550671,0.431739819827,0.528548769866,0.118379351136,0.282915625916,0.418426344436
A3O1I9MATO3ZZN,697.191247086,4,187,187,0.504158644251,0.62258368658,0.809784540003,0.300637451478,0.432104194396,0.695752217584
A3QZMGTVA4VO44,22.3804868503,6,315,315,0.448145224413,0.598084803587,0.749300469975,0.242960814164,0.402775293143,0.603216776947
A3R55C67WKDZKO,51.5,1,2,2,0.0710862301937,0.220603550225,0.322235204833,0.0937920972976,0.234604075027,0.399788866783
A3TUMZ954ORSUC,523.299197831,4,250,250,0.503791158426,0.632156530282,0.796940527058,0.29850456948,0.450290384919,0.662915708347
A5LYLHG880ABE,243.10519697,8,585,585,0.0936408594373,0.27239447041,0.343769311089,0.0948233344559,0.242130250778,0.391621179721
